N,ID_PR,ASL,RAGIONE SOCIALE,PARTITA IVA,NOME PRESIDIO,DECRETI,TIPO DI PROVVEDIMENTO,INDIRIZZO,COMUNE,CAP,Latitude,Longitude
382,800,101 RM/A,ISTITUTO DI ORTOFONOLOGIA SRL,01869671006,IDO TAGLIAMENTO,U00109/13,DECRETO DI ACCREDITAMENTO,via Tagliamento 25,ROMA,00198,41.9196087,12.5023097
626,644,101 RM/A,ISTITUTO DI ORTOFONOLOGIA SRL,01869671006,IDO FURLO,"U00110/13
U00454/13",DECRETO DI ACCREDITAMENTO,via Passo del Furlo 53,ROMA,00141,41.9305679,12.5354957
675,1675,101 RM/A,ISTITUTO FLEMING DIAGNOSTICA CLINICA DI LABORATORIO S.R.L.,01028501003,ISTITUTO FLEMING DIAGNOSTICA CLINICA DI LABORATORIO S.R.L.,U00204/12,DECRETO DI ACCREDITAMENTO,Viale Tiziano n. 78/80,ROMA,00196,41.9313037,12.4689854
636,862,101 RM/A,ITALMEDICA S.A.S.,01321971002,ITALMEDICA S.A.S,U00179/12,DECRETO DI ACCREDITAMENTO,"via Treviso, 16",ROMA,00161,41.90907929999999,12.5130273
929,1003,101 RM/A,KRASI SRL,01320371006,KRASI SRL,U00168/12,DECRETO DI ACCREDITAMENTO,Via Annone 1,ROMA,00199,41.9246114,12.5151428
548,1565,101 RM/A,L.A.D. PROF. GIORGIO NATALIZI SRL,02150831002,L.A.D. PROF. GIORGIO NATALIZI SRL,U00421/12,DECRETO DI ACCREDITAMENTO,"VIA ZANARDELLI, 36",ROMA,00186,41.901595,12.4718651
145,1838,101 RM/A,L.E.A. S.R.L.,01353231002,L.E.A. S.R.L.,U00364/12,DECRETO DI ACCREDITAMENTO,VIA DEI PONTEFICI 3,ROMA,00186,41.9064663,12.4779355
321,1215,101 RM/A,LAB. ANALISI CLINICHE MEDICHE SARGENTINI SRL,04646541005,LAB. ANALISI CLINICHE MEDICHE SARGENTINI SRL,U00187/12,DECRETO DI ACCREDITAMENTO,"VIA DI TOR FIORENZA, 47",ROMA,00199,41.9323422,12.5109812
519,1153,101 RM/A,LABORATORI ANALISI CLINICHE MEDICHE PAOLO GORINI,01313811000,LAB.AN.CLIN.MED. PAOLO GORINI  SRL,U00158/12,DECRETO DI ACCREDITAMENTO,"VIA DI PRISCILLA,106",ROMA,00199,41.9322019,12.5124988
763,1303,101 RM/A,LABORATORIO ANALISI 'BIOTECNICA ROMANA' S.R.L.,05630771003,BIOTECNICA ROMANA LABORATORIO ANALISI SRL,U00206/12,DECRETO DI ACCREDITAMENTO,VIA PRATI FISCALI 258,ROMA,11010,41.94617239999999,12.5165958
389,893,101 RM/A,LABORATORIO ANALISI CLINICHE ALESSANDRIA SRL,01008931006,POLIAMBULATORIO E DIAGNOSTICA STRUMENTALE,"U00453/12
U00460/13
U00019/14
U00188/14",DECRETO DI ACCREDITAMENTO,"Via Velletri,10",ROMA,00198,41.9119276,12.4988596
